pl_name,hostname,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,ra,dec,sy_vmag,EscVal,ESI,lmin,lmax,SType,TType,Show
TOI-1470 b,TOI-1470,2,2.527093,0.0285,2.18,7.32,3.86,0.3,46.3,734,M1.5 V,3709,0.47,0.47,0,-1.425,10.0891431,61.2133868,13.459,1.83242958,0.331951763,0.32375499,0.191926611,S,H,1
TOI-1470 c,TOI-1470,2,18.08816,0.106,2.47,7.24,2.66,0.5,3.35,373,M1.5 V,3709,0.47,0.47,0,-1.425,10.0891431,61.2133868,13.459,1.712067198,0.584491902,0.32375499,0.191926611,S,W,1
TOI-1518 b,TOI-1518,1,1.902603,0.0389,21.017,731.00534,0.434106581,0.01,,2492,F0,7300,1.95,1.79,-0.1,0.986250513,352.2675207,67.0348062,8.952,5.897594556,0.03264151,5.198065261,3.08148779,J,H,1
TOI-1749 b,TOI-1749,3,2.38839,0.0291,1.39,57,117.008779,0.14,,831,M0 V,3985,0.55,0.58,-0.26,-1.164671468,282.7372281,64.419466,13.86,6.403685989,0.141850042,0.436898685,0.258999819,E,H,1
TOI-1749 c,TOI-1749,3,4.4929,0.0443,2.12,14,8.100436938,0.019,,673,M0 V,3985,0.55,0.58,-0.26,-1.164671468,282.7372281,64.419466,13.86,2.569780844,0.347767602,0.436898685,0.258999819,S,H,1
TOI-1749 d,TOI-1749,3,9.0497,0.0707,2.52,15,5.167466016,0.062,,533,M0 V,3985,0.55,0.58,-0.26,-1.164671468,282.7372281,64.419466,13.86,2.439750182,0.453302609,0.436898685,0.258999819,S,H,1
TOI-1776 b,TOI-1776,1,2.799868,0.0378,1.216,1.4,4.13,0,,1269,,5785,0.94,0.92,-0.193,-0.053,164.7772913,40.9837182,8.26,1.072993844,0.204051812,1.571145736,0.931397772,E,H,1
TOI-2010 b,TOI-2010,1,141.834025,0.5516,11.814,408.72733,1.36,0.212,4.09,400,F0,5929,1.08,1.11,0.168,0.114,292.1669417,53.4873694,9.849,5.881909741,0.340288442,1.904217145,1.12884729,J,W,1
TOI-2088 b,TOI-2088,1,124.72997,0.472,3.683,37,2,0,,300,,5081,0.85,0.9,0.339,-0.362,261.3748943,75.8822796,11.638,3.169567482,0.584862876,1.100820405,0.652582156,N,W,1
TOI-2095 b,TOI-2095,2,17.66484,0.101,1.25,4.1,11.5728896,0,3.43,347,M2.5 V,3759,0.44,0.44,-0.24,-1.459,285.6365235,75.4185135,13.19,1.811077028,0.653849551,0.311326774,0.184558986,E,W,1
TOI-2095 c,TOI-2095,2,28.17232,0.137,1.33,7.4,17.34062671,0,1.84,297,M2.5 V,3759,0.44,0.44,-0.24,-1.459,285.6365235,75.4185135,13.19,2.358794136,0.658458501,0.311326774,0.184558986,E,W,1
TOI-2120 b,TOI-2120,1,5.7998164,0.0377,2.122,6.8,20.6,0.32,3.61,384,,3131,0.24,0.21,0.39,-2.287,23.507315,65.5139877,15.648,1.790118441,0.513287512,0.120009733,0.071143495,S,W,1
TOI-2134 b,TOI-2134,2,9.2292005,0.078,2.69,9.13,2.607,0.06,32,666,K5 V,4580,0.71,0.74,0.12,-0.717,271.9355015,39.0729269,8.933,1.84229532,0.335613081,0.731503606,0.43364585,S,H,1
